tactic,counter,prob
exact h',16,0.00018089111485455225
rw [zero_smul],16,0.00018089111485455225
intro ε εpos,16,0.00018089111485455225
cases b <;> rfl,16,0.00018089111485455225
"simp only [integral, hG, L1.integral]",16,0.00018089111485455225
congr with a,16,0.00018089111485455225
rw [one_smul],16,0.00018089111485455225
rcases eq_or_ne n 0 with (rfl | hn),16,0.00018089111485455225
simp [iInf],16,0.00018089111485455225
inhabit α,16,0.00018089111485455225
use x,16,0.00018089111485455225
rw [two_mul],16,0.00018089111485455225
borelize E,16,0.00018089111485455225
rw [← ofReal_inj],16,0.00018089111485455225
measurability,15,0.00016958542017614272
intro σ,15,0.00016958542017614272
exact this.1,15,0.00016958542017614272
cases' h with h h,15,0.00016958542017614272
intro d hd,15,0.00016958542017614272
C_simp,15,0.00016958542017614272
ext g,15,0.00016958542017614272
group,15,0.00016958542017614272
by_cases hm : m ≤ m0,15,0.00016958542017614272
intro x y hx hy,15,0.00016958542017614272
intro a b h,15,0.00016958542017614272
subst a,15,0.00016958542017614272
"rintro ⟨u, rfl⟩",15,0.00016958542017614272
letI := f.toAlgebra,15,0.00016958542017614272
by_contra!,15,0.00016958542017614272
intro _ _ h,15,0.00016958542017614272
simp [ih],15,0.00016958542017614272
"rw [← neg_eq_zero, ← inner_neg_right] at h",15,0.00016958542017614272
use c,15,0.00016958542017614272
rw [← not_lt],15,0.00016958542017614272
intro r hr,15,0.00016958542017614272
by_cases hp_top : p = ∞,15,0.00016958542017614272
cases' n with n n,15,0.00016958542017614272
"rintro ⟨x, hx, rfl⟩",15,0.00016958542017614272
rw [Submodule.span_le],15,0.00016958542017614272
rintro ⟨⟨⟩⟩,15,0.00016958542017614272
exact h.symm,15,0.00016958542017614272
exact Or.inl h,15,0.00016958542017614272
"rw [angle, ← inner_eq_zero_iff_angle_eq_pi_div_two, real_inner_comm, ← neg_eq_zero, ←
  inner_neg_left, neg_vsub_eq_vsub_rev] at h",15,0.00016958542017614272
letI := Classical.decEq ι,15,0.00016958542017614272
cases l,14,0.0001582797254977332
"rintro ⟨c, rfl⟩",14,0.0001582797254977332
ext u,14,0.0001582797254977332
mem_tac,14,0.0001582797254977332
rw [h₂],14,0.0001582797254977332
exact zero_mem _,14,0.0001582797254977332
apply integral_congr_ae,14,0.0001582797254977332
intro Y f hf,14,0.0001582797254977332
rintro ⟨h⟩,14,0.0001582797254977332
"refine ⟨fun h ↦ ?_, ?_⟩",14,0.0001582797254977332
norm_num at this,14,0.0001582797254977332
nontriviality,14,0.0001582797254977332
by_cases h : j = i,14,0.0001582797254977332
cases isEmpty_or_nonempty α,14,0.0001582797254977332
intro h x,14,0.0001582797254977332
induction a,14,0.0001582797254977332
simp only [Function.comp_apply],14,0.0001582797254977332
rw [vsub_eq_zero_iff_eq] at h,14,0.0001582797254977332
rw [disjoint_iff_inf_le],14,0.0001582797254977332
"ext ⟨x, hx⟩",14,0.0001582797254977332
induction l <;> simp [*],14,0.0001582797254977332
cases subsingleton_or_nontrivial R,14,0.0001582797254977332
exact hx.2,14,0.0001582797254977332
ext i hi,14,0.0001582797254977332
norm_cast at *,14,0.0001582797254977332
clear h,14,0.0001582797254977332
exact Subsingleton.elim _ _,14,0.0001582797254977332
simp [ofReal'],14,0.0001582797254977332
intro q hq,14,0.0001582797254977332
exact hb,14,0.0001582797254977332
have := hs.to_subtype,14,0.0001582797254977332
unfold angle,14,0.0001582797254977332
contrapose! this,14,0.0001582797254977332
exact mod_cast this,14,0.0001582797254977332
trans,14,0.0001582797254977332
rw [hs],13,0.0001469740308193237
simp [ht],13,0.0001469740308193237
cases k,13,0.0001469740308193237
congr with j,13,0.0001469740308193237
rw [dist_comm],13,0.0001469740308193237
intro J hJ,13,0.0001469740308193237
apply IH,13,0.0001469740308193237
apply h₁,13,0.0001469740308193237
by_cases hc : c = 0,13,0.0001469740308193237
cases H,13,0.0001469740308193237
induction p <;> simp [*],13,0.0001469740308193237
use r,13,0.0001469740308193237
by_contra h',13,0.0001469740308193237
simp only [eq_iff_true_of_subsingleton],13,0.0001469740308193237
simp [f],13,0.0001469740308193237
subst b,13,0.0001469740308193237
exact Nat.zero_le _,13,0.0001469740308193237
simp [eval],13,0.0001469740308193237
split_ifs with h₁ h₂ h₂,13,0.0001469740308193237
"rintro ⟨a, ha⟩ ⟨b, hb⟩",13,0.0001469740308193237
rcases n.eq_zero_or_pos with (rfl | hn),13,0.0001469740308193237
split <;> simp,13,0.0001469740308193237
by_cases hx : x ∈ s,13,0.0001469740308193237
rw [mul_zero],13,0.0001469740308193237
by_contra contra,13,0.0001469740308193237
by_cases hE : CompleteSpace E,13,0.0001469740308193237
exact Or.inl rfl,13,0.0001469740308193237
revert e,13,0.0001469740308193237
congr! 1,13,0.0001469740308193237
rw [← Category.assoc],13,0.0001469740308193237
intro A,13,0.0001469740308193237
apply le_max_right,13,0.0001469740308193237
rw [h₁],13,0.0001469740308193237
"dsimp [δ, σ]",13,0.0001469740308193237
tfae_have 3 → 1,13,0.0001469740308193237
exact le_max_left _ _,13,0.0001469740308193237
apply MvPolynomial.map_injective (Int.castRingHom ℚ) Int.cast_injective,13,0.0001469740308193237
rw [← nonpos_iff_eq_zero],13,0.0001469740308193237
valid,13,0.0001469740308193237
obtain rfl | hs := s.eq_empty_or_nonempty,13,0.0001469740308193237
clear x,12,0.00013566833614091418
simpa using hn,12,0.00013566833614091418
exact inf_le_right,12,0.00013566833614091418
apply mul_comm,12,0.00013566833614091418
cases t,12,0.00013566833614091418
obtain rfl | ha := eq_or_ne a 0,12,0.00013566833614091418
simp [h.symm],12,0.00013566833614091418
rw [sub_nonneg],12,0.00013566833614091418
simpa using hi,12,0.00013566833614091418
cases X,12,0.00013566833614091418
apply Eq.symm,12,0.00013566833614091418
"have hs : (∡ p₃ p₁ p₂).sign = 1 := by rw [← oangle_rotate_sign, h, Real.Angle.sign_coe_pi_div_two]",12,0.00013566833614091418
simp [s],12,0.00013566833614091418
induction s using Quotient.inductionOn,12,0.00013566833614091418
rwa [h],12,0.00013566833614091418
rw [← mul_assoc],12,0.00013566833614091418
apply coequalizer.hom_ext,12,0.00013566833614091418
ext1 s,12,0.00013566833614091418
by_cases h : a ∈ s,12,0.00013566833614091418
ext : 2,12,0.00013566833614091418
ext U,12,0.00013566833614091418
cases v,12,0.00013566833614091418
"rintro ⟨k, hk⟩",12,0.00013566833614091418
haveI : SigmaFinite (μ.trim hm) := hμm,12,0.00013566833614091418
by_cases hμm : SigmaFinite (μ.trim hm),12,0.00013566833614091418
haveI := Classical.decEq α,12,0.00013566833614091418
simp only at h,12,0.00013566833614091418
ext e,12,0.00013566833614091418
tfae_have 1 → 4,12,0.00013566833614091418
by_cases h : x = 0,12,0.00013566833614091418
apply LinearMap.ext_ring,12,0.00013566833614091418
by_cases ha : p a,12,0.00013566833614091418
dsimp [Function.comp_def] at this,12,0.00013566833614091418
haveI := Fact.mk hprime,12,0.00013566833614091418
rcases eq_or_ne x 0 with (rfl | hx),12,0.00013566833614091418
"rw [← oangle_rotate_sign, h, Real.Angle.sign_coe_pi_div_two]",12,0.00013566833614091418
apply Finset.sum_eq_zero,12,0.00013566833614091418
by_cases hr : r = 0,12,0.00013566833614091418
cases w,12,0.00013566833614091418
rw [nhds_prod_eq],12,0.00013566833614091418
simpa using hy,12,0.00013566833614091418
"have hs : (o.oangle y (y - x)).sign = 1 := by
  rw [oangle_sign_sub_right_swap, h, Real.Angle.sign_coe_pi_div_two]",12,0.00013566833614091418
"rw [oangle_sign_sub_right_swap, h, Real.Angle.sign_coe_pi_div_two]",12,0.00013566833614091418
obtain rfl | ha' := ha.eq_or_lt,12,0.00013566833614091418
use y,12,0.00013566833614091418
simpa using ha,12,0.00013566833614091418
rwa [hc.cof_eq],12,0.00013566833614091418
contrapose! hs,12,0.00013566833614091418
abel_nf,12,0.00013566833614091418
simp [hq],12,0.00013566833614091418
cases' l with hd tl,12,0.00013566833614091418
cases x <;> cases y <;> rfl,12,0.00013566833614091418
rw [← hasDerivWithinAt_univ] at *,12,0.00013566833614091418
simp only [h],12,0.00013566833614091418
subst hx,12,0.00013566833614091418
obtain rfl | hij := Decidable.eq_or_ne i j,12,0.00013566833614091418
filter_upwards [eventually_gt_atTop 0] with t ht,11,0.00012436264146250465
simp at hn,11,0.00012436264146250465
rw [w],11,0.00012436264146250465
induction b,11,0.00012436264146250465
exact inf_le_left,11,0.00012436264146250465
rw [← e],11,0.00012436264146250465
induction' k with k IH,11,0.00012436264146250465
filter_upwards [this] with x hx,11,0.00012436264146250465
intro i j h,11,0.00012436264146250465
ext c,11,0.00012436264146250465
"simp only [hy, mfld_simps]",11,0.00012436264146250465
apply Quotient.sound,11,0.00012436264146250465
refine integral_congr_ae ?_,11,0.00012436264146250465
contrapose h,11,0.00012436264146250465
apply Continuous.intervalIntegrable,11,0.00012436264146250465
rintro ⟨_⟩,11,0.00012436264146250465
simp at this,11,0.00012436264146250465
cases' hR with _ _ hprime _,11,0.00012436264146250465
simp only [← Category.assoc],11,0.00012436264146250465
fin_cases i,11,0.00012436264146250465
exact hy,11,0.00012436264146250465
"have hs : (o.oangle x (x + y)).sign = 1 := by
  rw [oangle_sign_add_right, h, Real.Angle.sign_coe_pi_div_two]",11,0.00012436264146250465
"rw [oangle_sign_add_right, h, Real.Angle.sign_coe_pi_div_two]",11,0.00012436264146250465
beta_reduce,11,0.00012436264146250465
use b,11,0.00012436264146250465
"rw [oangle_rotate_sign, h, Real.Angle.sign_coe_pi_div_two]",11,0.00012436264146250465
intro hy,11,0.00012436264146250465
apply Submodule.subset_span,11,0.00012436264146250465
intro ha,11,0.00012436264146250465
"have hs : (∡ p₂ p₃ p₁).sign = 1 := by rw [oangle_rotate_sign, h, Real.Angle.sign_coe_pi_div_two]",11,0.00012436264146250465
simpa using h₁,11,0.00012436264146250465
simpa using H,11,0.00012436264146250465
funext a,11,0.00012436264146250465
rw [smul_zero],11,0.00012436264146250465
simpa using h',11,0.00012436264146250465
"rintro ⟨i, j⟩ hij",11,0.00012436264146250465
tfae_have 1 ↔ 2,11,0.00012436264146250465
intro p q hp hq,11,0.00012436264146250465
intro s1 s2 h,11,0.00012436264146250465
exact h.2,11,0.00012436264146250465
by_cases hb : b = 0,11,0.00012436264146250465
rw [zpow_natCast],11,0.00012436264146250465
rwa [mul_comm],11,0.00012436264146250465
refine Finset.sum_congr rfl fun i hi => ?_,11,0.00012436264146250465
haveI := Fintype.ofFinite α,11,0.00012436264146250465
dsimp [δ],11,0.00012436264146250465
rw [map_add],11,0.00012436264146250465
exact hc,11,0.00012436264146250465
intro j _,11,0.00012436264146250465
apply ne_of_lt,11,0.00012436264146250465
split_ifs with h₁ h₂,11,0.00012436264146250465
rw [hu],11,0.00012436264146250465
apply subset_closure,11,0.00012436264146250465
refine this.trans ?_,11,0.00012436264146250465
simp [hz],11,0.00012436264146250465
exact zero_le_one,11,0.00012436264146250465
cases x <;> simp,11,0.00012436264146250465
solve_by_elim,11,0.00012436264146250465
rintro (rfl | rfl),11,0.00012436264146250465
rw [hy],11,0.00012436264146250465
"rintro ⟨k, rfl⟩",11,0.00012436264146250465
refine lintegral_congr_ae ?_,11,0.00012436264146250465
simp_rw [Category.assoc],11,0.00012436264146250465
subst a',11,0.00012436264146250465
obtain rfl | hij := eq_or_ne i j,11,0.00012436264146250465
simp only [mfld_simps] at hy,11,0.00012436264146250465
cases a <;> decide,11,0.00012436264146250465
simpa using hf,11,0.00012436264146250465
cases nonempty_fintype β,11,0.00012436264146250465
exact tendsto_const_nhds,11,0.00012436264146250465
intro hc,11,0.00012436264146250465
subst hi,11,0.00012436264146250465
funext a b,11,0.00012436264146250465
exact h0,10,0.00011305694678409514
inhabit β,10,0.00011305694678409514
contrapose! hf,10,0.00011305694678409514
simp [and_comm],10,0.00011305694678409514
rwa [← extChartAt_source I],10,0.00011305694678409514
rw [eventually_atTop],10,0.00011305694678409514
tfae_have 1 → 3,10,0.00011305694678409514
rw [corec_eq],10,0.00011305694678409514
simp [hp0],10,0.00011305694678409514
subst hn,10,0.00011305694678409514
congr! 2,10,0.00011305694678409514
"rintro _ ⟨i, rfl⟩",10,0.00011305694678409514
let g := of v,10,0.00011305694678409514
